movie,year,genre,color,language,country,rating,duration,budget
Headhunters,2011,Crime,Color,Norwegian,Norway,R,100,30300000
March of the Penguins,2005,Documentary,Color,French,France,G,80,8000000
Mud,2012,Drama,Color,English,USA,PG-13,130,10000000
Big,1988,Comedy,Color,English,USA,PG,130,18000000
Insomnia,2002,Drama,Color,English,USA,R,118,46000000
Speed,1994,Action,Color,English,USA,R,116,25000000
Half Nelson,2006,Drama,Color,English,USA,R,106,700000
The Hunchback of Notre Dame,1996,Animation,Color,English,USA,G,91,100000000
Wreck-It Ralph,2012,Adventure,Color,English,USA,PG,101,165000000
Ordinary People,1980,Drama,Color,English,USA,R,124,6000000
The Hours,2002,Drama,Color,English,USA,PG-13,114,25000000
Superbad,2007,Comedy,Color,English,USA,R,119,20000000
Far from Heaven,2002,Drama,Color,English,USA,PG-13,107,13500000
Witness,1985,Crime,Color,English,USA,R,112,12000000
Cinderella,2015,Drama,Color,English,USA,PG,105,95000000
Out of Sight,1998,Crime,Color,English,USA,R,123,48000000
Cinderella,2015,Drama,Color,English,USA,PG,105,95000000
Walk the Line,2005,Biography,Color,English,USA,PG-13,153,28000000
Zodiac,2007,Crime,Color,English,USA,R,162,65000000
Who Killed the Electric Car?,2006,Documentary,Color,English,USA,PG,92,1000000
The Crow,1994,Action,Color,English,USA,R,98,23000000
Hugo,2011,Adventure,Color,English,USA,PG,126,170000000
The Bridges of Madison County,1995,Drama,Color,English,USA,PG-13,135,35000000
Paddington,2014,Animation,Color,English,UK,PG,95,55000000
Brothers,2009,Drama,Color,English,USA,R,105,26000000
Brothers,2009,Drama,Color,English,USA,R,105,26000000
Gladiator,2000,Action,Color,English,USA,R,171,103000000
In Bruges,2008,Comedy,Color,English,UK,R,107,15000000
Doctor Zhivago,1965,Drama,Color,English,USA,PG-13,200,11000000
Atonement,2007,Drama,Color,English,UK,R,123,30000000
Road to Perdition,2002,Crime,Color,English,USA,R,117,80000000
Star Trek II: The Wrath of Khan,1982,Action,Color,English,USA,PG,116,11000000
Collateral,2004,Crime,Color,English,USA,R,120,65000000
Lincoln,2012,Biography,Color,English,USA,PG-13,150,65000000
Much Ado About Nothing,1993,Comedy,Color,English,UK,PG-13,111,8000000
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,Color,English,USA,R,82,18000000
The Apostle,1997,Drama,Color,English,USA,PG-13,134,5000000
Winter's Bone,2010,Drama,Color,English,USA,R,100,2000000
The Thing,1982,Horror,Color,English,USA,R,109,15000000
Gran Torino,2008,Drama,Color,English,USA,R,116,33000000
Coraline,2009,Animation,Black and White,English,USA,PG,100,60000000
Ray,2004,Biography,Color,English,USA,PG-13,178,40000000
Dangerous Liaisons,1988,Drama,Color,English,USA,R,119,14000000
Dangerous Liaisons,1988,Drama,Color,English,USA,R,119,14000000
Garden State,2004,Comedy,Color,English,USA,R,102,2500000
The Raid: Redemption,2011,Action,Color,Indonesian,Indonesia,R,102,1100000
A Simple Plan,1998,Crime,Color,English,UK,R,121,17000000
Rabbit-Proof Fence,2002,Adventure,Color,Aboriginal,Australia,PG,94,6000000
Gods and Monsters,1998,Biography,Black and White,English,USA,R,105,3500000
Grosse Pointe Blank,1997,Action,Color,English,USA,R,107,15000000
